id,Regdex,Natdex,Pokemon,Type,Type2,NatdexSimp,PokemonImgLink,PokedexEntry
11,#011,#011,Metapod,Bug,Bug,11,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/11.png?raw=true,Its shell is as hard as an iron slab. A Metapod does not move very much because it is preparing its soft innards for evolution inside the shell.
12,#012,#012,Butterfree,Bug,Flying,12,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/12.png?raw=true,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."
13,#013,#013,Weedle,Bug,Poison,13,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/13.png?raw=true,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
14,#014,#014,Kakuna,Bug,Poison,14,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/14.png?raw=true,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
15,#015,#015,Beedrill,Bug,Poison,15,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/15.png?raw=true,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm."
16,#016,#016,Pidgey,Normal,Flying,16,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/16.png?raw=true,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
17,#017,#017,Pidgeotto,Normal,Flying,17,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/17.png?raw=true,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
18,#018,#018,Pidgeot,Normal,Flying,18,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/18.png?raw=true,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
19,#019,#019,Rattata,Normal,Normal,19,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/19.png?raw=true,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
20,#020,#020,Raticate,Normal,Normal,20,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/20.png?raw=true,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs.It may even chew on the walls of houses."
21,#021,#021,Spearow,Normal,Flying,21,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/21.png?raw=true,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
22,#022,#022,Fearow,Normal,Flying,22,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/22.png?raw=true,It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.
23,#023,#023,Ekans,Poison,Poison,23,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/23.png?raw=true,It sneaks through grass without making a sound and strikes unsuspecting prey from behind.
24,#024,#024,Arbok,Poison,Poison,24,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/24.png?raw=true,"With a very vengeful nature, it won’t give up the chase, no matter how far, once it targets its prey."
25,#025,#025,Pikachu,Electric,Electric,25,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/25.png?raw=true,Possesses cheek sacs in which it stores electricity. This clever forest-dweller roasts tough berries with an electric shock before consuming them.
26,#026,#026,Raichu,Electric,Electric,26,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/26.png?raw=true,"It can discharge bursts of electricity exceeding 100,000 volts— a single strike with that amount of power would incapacitate a Copperajah."
27,#027,#027,Sandshrew,Ground,Ground,27,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/27.png?raw=true,"It prefers dry, sandy places because it usesthe sand to protect itself when threatened."
28,#028,#028,Sandslash,Ground,Ground,28,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/28.png?raw=true,The spikes on its body are made up of its hardened hide. It rolls up and attacks foes with its spikes.
29,#029,#029,Nidoran Female,Poison,Poison,29,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/29.png?raw=true,"Small and very docile, it protects itself with its small, poisonous horn when attacked."
30,#030,#030,Nidorina,Poison,Poison,30,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/30.png?raw=true,"When feeding its young, it first chews and tender­izes the food, then spits it out for the offspring."
31,#031,#031,Nidoqueen,Poison,Ground,31,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/31.png?raw=true,Its entire body is armored with hard scales. It will protect the young in its burrow with its life.
32,#032,#032,Nidoran Male,Poison,Poison,32,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/32.png?raw=true,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice."
33,#033,#033,Nidorino,Poison,Poison,33,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/33.png?raw=true,"It has a violent disposition and stabs foes with its horn, which oozes poison upon impact."
34,#034,#034,Nidoking,Poison,Ground,34,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/34.png?raw=true,"It is recognized by its rock-hard hide and its extended horn. Be careful with the horn, as it contains venom."
35,#035,#035,Clefairy,Fairy,Fairy,35,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/35.png?raw=true,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.
36,#036,#036,Clefable,Fairy,Fairy,36,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/36.png?raw=true,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water.It is known to take strolls on lakes on quiet, moonlit nights."
37,#037,#037,Vulpix,Fire,Fire,37,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/37.png?raw=true,"It manipulates balls of fire to catch its prey. If you raise one from when it’s young, it will grow close to you like a puppy Pokémon."
38,#038,#038,Ninetales,Fire,Fire,38,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/38.png?raw=true,"The flickering flames it spews from its mouth leave its opponents hypnotized. Then, this extremely intelligent Pokémon attacks."
39,#039,#039,Jigglypuff,Normal,Fairy,39,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/39.png?raw=true,Recordings of Jigglypuff’s strange lullabies can be purchased from department stores. These CDs can be found near the bedding area.
40,#040,#040,Wigglytuff,Normal,Fairy,40,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/40.png?raw=true,Its fine fur feels sublime to the touch. It can expand its body by inhaling air.
41,#041,#041,Zubat,Poison,Flying,41,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/41.png?raw=true,"While living in pitch-black caverns, their eyes gradually grew shut and deprived them of vision. They use ultrasonic waves to detect obstacles."
42,#042,#042,Golbat,Poison,Flying,42,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/42.png?raw=true,"However hard its victim’s hide may be, it punctures with sharp fangs and gorges itself with blood."
43,#043,#043,Oddish,Grass,Poison,43,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/43.png?raw=true,"Awakened by moonlight, it roams actively at night. In the day, it stays quietly underground."
44,#044,#044,Gloom,Grass,Poison,44,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/44.png?raw=true,"The smell from its drool-like syrup and the pollen onits petals is so bad, it may make opponents faint."
45,#045,#045,Vileplume,Grass,Poison,45,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/45.png?raw=true,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen."
46,#046,#046,Paras,Bug,Grass,46,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/46.png?raw=true,Burrows to suck tree roots. The mushrooms on itsback grow by draw­ ing nutrients from the bug host.
47,#047,#047,Parasect,Bug,Grass,47,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/47.png?raw=true,A mushroom grown larger than the host’s body controls Parasect. It scatters poisonous spores.
48,#048,#048,Venonat,Bug,Poison,48,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/48.png?raw=true,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey."
49,#049,#049,Venomoth,Bug,Poison,49,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/49.png?raw=true,It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.
50,#050,#050,Diglett,Ground,Ground,50,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/50.png?raw=true,"It prefers dark places. It spends most of its time underground, though it may pop up in caves."
51,#051,#051,Dugtrio,Ground,Ground,51,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/51.png?raw=true,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles."
52,#052,#052,Meowth,Normal,Normal,52,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/52.png?raw=true,Adores round objects. It wanders the streets on a nightly basis to look for dropped loose change.
53,#053,#053,Persian,Normal,Normal,53,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/53.png?raw=true,This Pokémon is popular with rich people. It’s also targeted by hunters who are after the jewel in its forehead.
54,#054,#054,Psyduck,Water,Water,54,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/54.png?raw=true,"It is constantly wracked by a headache. When the headache turns intense, it begins using mysterious powers."
55,#055,#055,Golduck,Water,Water,55,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/55.png?raw=true,"When its forehead shines mysteriously, Golduck can use the full extent of its power."
56,#056,#056,Mankey,Fighting,Fighting,56,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/56.png?raw=true,"Extremely quick to anger. It could be docile one moment, then thrashing away  the next instant."
57,#057,#057,Primeape,Fighting,Fighting,57,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/57.png?raw=true,It stops being angry only when nobody else is around. To view this moment is very difficult.
58,#058,#058,Growlithe,Fire,Fire,58,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/58.png?raw=true,"Extremely loyal to its Trainer, it will bark at those who approach the Trainer unexpectedly and run them out of town."
59,#059,#059,Arcanine,Fire,Fire,59,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/59.png?raw=true,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night.The fire that blazes wildly within this Pokémon’s body is its source of power."
60,#060,#060,Poliwag,Water,Water,60,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/60.png?raw=true,The direction of the spiral on the belly differs byarea. It is more adept at swimming than walking.
61,#061,#061,Poliwhirl,Water,Water,61,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/61.png?raw=true,"Its two legs are well developed. Even though it can live on the ground, it prefers living in water."
62,#062,#062,Poliwrath,Water,Fighting,62,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/62.png?raw=true,An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.
63,#063,#063,Abra,Psychic,Psychic,63,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/63.png?raw=true,It sleeps for 18 hours a day. It uses a variety of extrasensory powers even while asleep.
64,#064,#064,Kadabra,Psychic,Psychic,64,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/64.png?raw=true,"Many odd things happen if this Pokémon is close by. For example, it makes clocks run backward."
65,#065,#065,Alakazam,Psychic,Psychic,65,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/65.png?raw=true,"Its brain cells multiply continu­ ally until itdies. As a result, it remembers everything."
66,#066,#066,Machop,Fighting,Fighting,66,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/66.png?raw=true,"Always brimming with power, it passes time bylifting boulders. Doing so makes it even stronger."
67,#067,#067,Machoke,Fighting,Fighting,67,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/67.png?raw=true,"Its muscular body is so powerful, it must wear a powersave belt to be able to regulate its motions."
68,#068,#068,Machamp,Fighting,Fighting,68,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/68.png?raw=true,"It punches with its four arms at blinding speed. It can launch 1,000 punches in two seconds."
69,#069,#069,Bellsprout,Grass,Poison,69,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/69.png?raw=true,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.
70,#070,#070,Weepinbell,Grass,Poison,70,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/70.png?raw=true,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,#071,#071,Victreebel,Grass,Poison,71,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/71.png?raw=true,"Said to live in huge colonies deep in jungles,although no one has ever returned from there."
72,#072,#072,Tentacool,Water,Poison,72,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/72.png?raw=true,"When the tide goes out, dehydrated Tentacool remains can be found washed up on the shore."
73,#073,#073,Tentacruel,Water,Poison,73,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/73.png?raw=true,"With 80 tentacles for ensnaring victims, it prevents escape until the prey is weakened by poison."
74,#074,#074,Geodude,Rock,Ground,74,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/74.png?raw=true,"Most people may not notice, but a closer lookshould reveal that there are many Geodude around."
75,#075,#075,Graveler,Rock,Ground,75,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/75.png?raw=true,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,#076,#076,Golem,Rock,Ground,76,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/76.png?raw=true,It sheds its skin once a year. The discarded shellimmediately hard­ ens and crumbles away.
77,#077,#077,Ponyta,Fire,Fire,77,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/77.png?raw=true,Its hooves are 10 times harder than diamonds. It cantrample anything completely flat in little time.
78,#078,#078,Rapidash,Fire,Fire,78,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/78.png?raw=true,"When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance."
79,#079,#079,Slowpoke,Water,Psychic,79,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/79.png?raw=true,"Slow-witted and oblivious, this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back, either."
80,#080,#080,Slowbro,Water,Psychic,80,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/80.png?raw=true,An attached SHELLDER won't let go because of thetasty flavor that oozes out of its tail.
81,#081,#081,Magnemite,Electric,Steel,81,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/81.png?raw=true,The units at the sides of its body generate antigravity energy to keep it aloft in the air.
82,#082,#082,Magneton,Electric,Steel,82,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/82.png?raw=true,"When rain clouds form, many Magneton gather in high places to wait for lightning to strike."
83,#083,#083,Farfetch'd,Normal,Flying,83,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/83.png?raw=true,It always walks about with a plant stalk clamped in its beak. The stalk is used for building its nest.
84,#084,#084,Doduo,Normal,Flying,84,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/84.png?raw=true,"It lives on a grassy plain where it can see a longway. If it sees an enemy, it runs away at 60 mph."
85,#085,#085,Dodrio,Normal,Flying,85,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/85.png?raw=true,"An odd species that is rarely found. The three heads respectively represent joy, sadness, and anger."
86,#086,#086,Seel,Water,Water,86,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/86.png?raw=true,Loves freezing cold conditions. Relishes swimmingin a frigid cli­ mate of around 14F degrees.
87,#087,#087,Dewgong,Water,Ice,87,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/87.png?raw=true,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping ona glacier was mistakenly thought to be a mermaid by a mariner long ago.
88,#088,#088,Grimer,Poison,Poison,88,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/88.png?raw=true,Sludge exposed to X rays from the moon transformed into Grimer. It loves feeding on filthy things.
89,#089,#089,Muk,Poison,Poison,89,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/89.png?raw=true,"They love to gather in smelly areas where sludge accumulates, making the stench around them worse."
90,#090,#090,Shellder,Water,Water,90,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/90.png?raw=true,"The shell can withstand any attack. However,when it is open, the tender body is exposed."
91,#091,#091,Cloyster,Water,Ice,91,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/91.png?raw=true,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,#092,#092,Gastly,Ghost,Poison,92,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/92.png?raw=true,"With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind."
93,#093,#093,Haunter,Ghost,Poison,93,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/93.png?raw=true,"By licking, it saps the victim's life. It causesshaking that won't stop until the victim's demise."
94,#094,#094,Gengar,Ghost,Poison,94,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/94.png?raw=true,"Under a full moon, this Pokémon likes to mimicthe shadows of people and laugh at their fright."
95,#095,#095,Onix,Rock,Ground,95,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/95.png?raw=true,"This chain of immense stones resembles a giant serpent. Tremors shake the earth above as it burrows deep beneath the ground, feeding on boulders as it goes."
96,#096,#096,Drowzee,Psychic,Psychic,96,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/96.png?raw=true,"A descendent of the legendary animal baku, which is said to eat dreams. It is skilled at hypnotism."
97,#097,#097,Hypno,Psychic,Psychic,97,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/97.png?raw=true,It carries a pendulum-like device. There once was an incident in which it took  away a child it hypnotized.
98,#098,#098,Krabby,Water,Water,98,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/98.png?raw=true,"Its pincers are superb weapons. They sometimesbreak off during battle, but they grow back fast."
99,#099,#099,Kingler,Water,Water,99,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/99.png?raw=true,"One claw grew massively and is as hard as steel. It has 10,000-horsepower strength. However, it is too heavy."
100,#100,#100,Voltorb,Electric,Electric,100,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/100.png?raw=true,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.
101,#101,#101,Electrode,Electric,Electric,101,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/101.png?raw=true,"The more energy it charges up, the faster it gets.But this also makes it more likely to explode."
102,#102,#102,Exeggcute,Grass,Psychic,102,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/102.png?raw=true,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around.When cracks increasingly appear on the eggs, Exeggcute is close to evolution."
103,#103,#103,Exeggutor,Grass,Psychic,103,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/103.png?raw=true,"Originally from the tropics, Exeggutor’s heads grow larger from exposure to strong sunlight. It is said that when the heads fall, they group to form an EXEGGCUTE."
104,#104,#104,Cubone,Ground,Ground,104,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/104.png?raw=true,"When the memory of its departed mother brings it to tears, its cries echo mournfully within the skull it wears on its head."
105,#105,#105,Marowak,Ground,Ground,105,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/105.png?raw=true,"Small and weak, this Pokémon is adept with its bone club. It has grown more vicious over the ages."
106,#106,#106,Hitmonlee,Fighting,Fighting,106,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/106.png?raw=true,Its legs can stretch double. First-time foes are startled by its extensible reach.
107,#107,#107,Hitmonchan,Fighting,Fighting,107,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/107.png?raw=true,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes."
108,#108,#108,Lickitung,Normal,Normal,108,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/108.png?raw=true,Its tongue is twice the length of its body. It can be moved like an arm for grabbing food and attacking.
109,#109,#109,Koffing,Poison,Poison,109,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/109.png?raw=true,"The poisonous gases it contains are a little bitlighter than air, keeping it slight­ ly airborne."
110,#110,#110,Weezing,Poison,Poison,110,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/110.png?raw=true,"Where two kinds of poison gases meet, 2 KOFFINGscan fuse into a Weezing over many years."
111,#111,#111,Rhyhorn,Ground,Rock,111,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/111.png?raw=true,Its massive bones are 1000 times harder than humanbones. It can easily knock a trailer flying.
112,#112,#112,Rhydon,Ground,Rock,112,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/112.png?raw=true,"Protected by an armor-like hide, it is capable ofliving in molten lava of 3,600 degrees."
113,#113,#113,Chansey,Normal,Normal,113,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/113.png?raw=true,"It is said to deliver happiness. Being compassionate, it shares its eggs with injured people."
114,#114,#114,Tangela,Grass,Grass,114,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/114.png?raw=true,"During battle, it constantly moves the vines thatcover its body in order to annoy its opponent."
115,#115,#115,Kangaskhan,Normal,Normal,115,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/115.png?raw=true,It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.
116,#116,#116,Horsea,Water,Water,116,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/116.png?raw=true,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,#117,#117,Seadra,Water,Water,117,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/117.png?raw=true,It is capable of swimming backwards by rapidly flapping its winglike pectoral fins and stout tail.
118,#118,#118,Goldeen,Water,Water,118,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/118.png?raw=true,"Goldeen loves swimming wild and free in rivers and ponds. If one of these Pokémon is placed in anaquarium, it will shatter even the thickest glass with one ram of its horn and make its escape."
119,#119,#119,Seaking,Water,Water,119,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/119.png?raw=true,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors."
120,#120,#120,Staryu,Water,Water,120,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/120.png?raw=true,"Even if its body is torn, it can regenerate as long as the glowing central core remains intact."
121,#121,#121,Starmie,Water,Psychic,121,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/121.png?raw=true,It rotates its geometrically shaped body to swim through the water. It always seems to be sending out mysterious radio waves.
122,#122,#122,Mr. Mime,Psychic,Fairy,122,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/122.png?raw=true,Its fingertips emit a peculiar force field thathardens air to create an actual wall.
123,#123,#123,Scyther,Bug,Flying,123,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/123.png?raw=true,"It slashes through grass with its sharp scythes,moving too fast for the human eye to track."
124,#124,#124,Jynx,Ice,Psychic,124,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/124.png?raw=true,"A Jynx sashays rhythmically as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without noticing."
125,#125,#125,Electabuzz,Electric,Electric,125,https://github.com/PokeAPI/sprites/blob/master/sprites/pokemon/other/official-artwork/125.png?raw=true,"When a storm arrives, gangs of this Pokémon compete with each other to scale heights that are likely to bestricken by lightning bolts. Some towns use Electabuzz in place of lightning rods."
